method,terms,threshold,recall,specificity,precision,fpr,precision_n
model,1,0.014132841328413285,1,0.9997087949568371,0.21495343795796312,0.0002912050431632679,100
model,1,0.014489795918367347,1,0.9997125585115141,0.21560991687191539,0.0002874414884858751,100
model,1,0.014780405405405405,1,0.9997160868440244,0.21718734925202526,0.0002839131559758194,100
model,1,0.015302013422818792,1,0.9997196151765341,0.22445279678836016,0.0002803848234657636,100
model,1,0.01597667638483965,1,0.9997233787312116,0.2263845631543936,0.00027662126878837085,100
model,1,0.016317567567567567,1,0.9997269070637218,0.22753277817439724,0.00027309293627831514,100
model,1,0.016908783783783785,1,0.9997304353962317,0.22874199556834718,0.0002695646037682594,100
model,1,0.017494033412887827,1,0.9997341989509091,0.23081148499092394,0.00026580104909086665,100
model,1,0.01804195804195804,1,0.9997377272834196,0.23150560191259223,0.00026227271658081083,100
model,1,0.018542914171656686,1,0.9997412556159297,0.23231241223586682,0.00025874438407075517,100
model,1,0.019164835164835164,1,0.9997450191706071,0.23436337998330856,0.00025498082939336234,100
model,1,0.01942122186495177,1,0.9997485475031173,0.2352150542450552,0.0002514524968833065,100
model,1,0.020446194225721786,1,0.9997523110577947,0.23614430612592233,0.0002476889422059138,100
model,1,0.02103960396039604,1,0.9997558393903048,0.2368693847898242,0.00024416060969585803,100
model,1,0.021937086092715233,1,0.9997593677228146,0.23928354172846802,0.00024063227718580223,100
model,1,0.02322033898305085,1,0.999763131277492,0.2398897125298446,0.00023686872250840943,100
model,1,0.023997289972899728,1,0.9997666596100018,0.24107246059391546,0.00023334038999835366,100
model,1,0.02479020979020979,1,0.9997701879425119,0.24321231286913328,0.00022981205748829787,100
model,1,0.0256797583081571,1,0.9997739514971893,0.2461333301105858,0.00022604850281090504,100
model,1,0.02694214876033058,1,0.9997774798296991,0.24715153211486768,0.00022252017030084933,100
model,1,0.02817987152034261,1,0.9997810081622095,0.25022748858948257,0.00021899183779079353,100
model,1,0.028991769547325102,1,0.9997847717168871,0.2516529005725754,0.00021522828311340073,100
model,1,0.029794238683127573,1,0.999788300049397,0.25281969322701164,0.00021169995060334502,100
model,1,0.030732323232323232,1,0.9997918283819069,0.2603151144904875,0.00020817161809328927,100
model,1,0.031732456140350876,1,0.9997955919365842,0.2626228583096123,0.0002044080634158965,100
model,1,0.032415169660678644,1,0.9997991202690945,0.26352020224167094,0.00020087973090584073,100
model,1,0.033710021321961624,1,0.9998028838237718,0.2681287663396559,0.00019711617622844793,100
model,1,0.03548037889039242,0.99,0.9998061769341146,0.2682442992058159,0.00019382306588572925,100
model,1,0.03679054054054054,0.99,0.9998097052666247,0.2707233740170518,0.0001902947333756735,100
model,1,0.03788065843621399,0.99,0.9998134688213023,0.2721923839540786,0.0001865311786982807,100
model,1,0.03969230769230769,0.99,0.9998169971538122,0.27312553423479685,0.00018300284618822494,100
model,1,0.04190594059405941,0.99,0.9998205254863223,0.27369469835883903,0.00017947451367816922,100
model,1,0.044123076923076925,0.99,0.9998242890409996,0.27517248513042447,0.00017571095900077642,100
model,1,0.04570909090909091,0.99,0.9998278173735098,0.27637523735120745,0.00017218262649072068,100
model,1,0.048211920529801326,0.99,0.99983134570602,0.27766846910894233,0.00016865429398066497,100
model,1,0.05061224489795919,0.99,0.9998351092606973,0.2801145069693024,0.00016489073930327214,100
model,1,0.052575757575757574,0.99,0.9998386375932072,0.2819121724680549,0.00016136240679321637,100
model,1,0.054407894736842106,0.99,0.9998424011478846,0.28964693743076103,0.0001575988521158235,100
model,1,0.057344497607655504,0.99,0.9998459294803946,0.2929993201243202,0.00015407051960576775,100
model,1,0.059763513513513514,0.99,0.9998494578129048,0.2970975667701474,0.000150542187095712,100
model,1,0.06216318785578748,0.99,0.9998532213675821,0.2994782499664079,0.0001467786324183192,100
model,1,0.06421717171717171,0.99,0.9998567497000921,0.30248918975126066,0.0001432502999082635,100
